Time,Average,MvgAvg,Sum,Med
780.182485104,89.44921875,85.992640625,1717425,17.0
780.233968973,90.06015625,86.357875,1729155,17.0
780.334253073,90.046875,86.725765625,1728900,17.0
780.430346966,89.68828125,87.084890625,1722015,17.0
780.570466995,89.409375,87.45065625,1716660,17.0
780.663005114,88.9046875,87.788265625,1706970,17.0
780.803461075,86.009375,88.082046875,1651380,16.0
780.899830103,85.159375,88.349265625,1635060,16.0
781.051411152,96.103125,88.815171875,1845180,18.0
781.106289148,95.02734375,89.257171875,1824525,18.0
781.196007967,95.82421875,89.712453125,1839825,18.0
781.337172985,87.27109375,90.013140625,1675605,17.0
781.428879023,97.4046875,90.52075,1870170,19.0
781.582663059,86.328125,90.8001875,1657500,16.0
781.636517048,90.9765625,90.959828125,1746750,17.0
781.782850027,94.4296875,91.0190625,1813050,17.0
781.837063074,95.82421875,91.058375,1839825,18.0
781.93394804,80.12578125,90.7885,1538415,16.0
782.083655119,91.01640625,90.72740625,1747515,17.0
782.14044714,86.20859375,90.604953125,1655205,16.0
782.229959011,85.8234375,90.494453125,1647810,16.0
782.368194103,84.05703125,90.35446875,1613895,15.0
782.463123083,85.690625,90.243703125,1645260,15.0
782.602330923,94.3765625,90.30665625,1812030,18.0
782.696321964,95.37265625,90.391125,1831155,18.0
782.835103035,87.5765625,90.314625,1681470,16.0
782.982036114,95.678125,90.40121875,1837020,18.0
783.033247948,93.128125,90.435484375,1788060,17.0
783.182007074,96.56796875,90.527921875,1854105,18.0
783.245429039,96.6609375,90.624078125,1855890,18.0
783.348708153,99.5828125,90.799921875,1911990,18.0
783.400459051,102.41171875,91.03553125,1966305,19.0
783.50027895,104.975,91.31709375,2015520,20.0
783.648821115,97.909375,91.439015625,1879860,18.0
783.71491003,98.53359375,91.59865625,1891845,18.0
783.863270044,107.790625,91.94078125,2069580,21.0
784.004997969,101.0703125,92.162578125,1940550,20.0
784.098432064,99.1578125,92.327,1903830,19.0
784.238139153,90.40546875,92.316375,1735785,17.0
784.331571102,91.54765625,92.334703125,1757715,17.0
784.46983695,101.21640625,92.54321875,1943355,19.0
784.563229084,96.0765625,92.648671875,1844670,18.0
784.718867064,95.09375,92.744296875,1825800,18.0
784.85895896,88.7984375,92.70259375,1704930,17.0
785.000985146,97.97578125,92.85028125,1881135,18.0
785.095469952,94.38984375,92.936875,1812285,18.0
785.248223066,89.303125,92.923328125,1714620,17.0
785.391284943,95.4921875,93.02346875,1833450,18.0
785.537265062,94.2171875,93.10740625,1808970,18.0
785.628665924,96.9265625,93.26146875,1860990,18.0
785.767591953,97.43125,93.421109375,1870680,18.0
785.919083118,99.41015625,93.608109375,1908675,19.0
786.080759048,100.76484375,93.82246875,1934685,19.0
786.133454084,97.75,93.983703125,1876800,18.0
786.231841087,100.5125,94.205765625,1929840,19.0
786.330735922,92.13203125,94.2703125,1768935,17.0
786.470513105,101.89375,94.588,1956360,19.0
786.561154127,100.40625,94.8929375,1927800,19.0
786.700773001,94.62890625,94.863453125,1816875,18.0
786.847842932,102.9828125,95.0225625,1977270,19.0
786.918435097,99.3171875,95.092421875,1906890,18.0
787.071125984,96.78046875,95.282609375,1858185,19.0
787.223843098,101.40234375,95.3625625,1946925,19.0
787.366272926,102.5578125,95.68715625,1969110,19.0
787.518356085,93.46015625,95.736828125,1794435,18.0
787.662838936,102.7703125,95.903640625,1973190,19.0
787.802488089,101.80078125,96.023171875,1954575,19.0
787.895324945,92.6234375,96.273125,1778370,17.0
787.996360064,96.99296875,96.39265625,1862265,18.0
788.094210148,98.93203125,96.647125,1899495,18.0
788.237538099,99.928125,96.92921875,1918620,19.0
788.332556963,92.66328125,97.10134375,1779135,17.0
788.480883121,103.28828125,97.453296875,1983135,19.0
788.54928112,100.04765625,97.56671875,1920915,19.0
788.691921949,102.09296875,97.701125,1960185,19.0
788.837451935,99.75546875,97.944703125,1915305,19.0
788.929722071,101.56171875,98.062375,1949985,19.0
789.084751129,104.74921875,98.294796875,2011185,19.0
789.228071928,95.90390625,98.281515625,1841355,18.0
789.370363951,103.8859375,98.426015625,1994610,19.0
789.46141696,102.3453125,98.481265625,1965030,19.0
789.601911068,96.0765625,98.3545625,1844670,18.0
789.750292063,103.04921875,98.316046875,1978545,19.0
789.89872098,100.04765625,98.3588125,1920915,19.0
790.050717115,94.4296875,98.276734375,1813050,18.0
790.193321943,98.3875,98.088671875,1889040,18.0
790.336835146,108.91953125,98.24565625,2091255,21.0
790.428910017,106.18359375,98.386171875,2038725,20.0
790.567307949,103.55390625,98.649140625,1988235,20.0
790.661806107,103.97890625,98.897765625,1996395,20.0
790.801442146,103.4609375,98.94265625,1986450,20.0
790.894309044,103.3015625,99.08715625,1983390,19.0
790.995160103,103.68671875,99.259015625,1990785,20.0
791.147356987,103.12890625,99.545625,1980075,19.0
791.197793007,102.584375,99.637796875,1969620,19.0
791.294944048,103.04921875,99.810984375,1978545,19.0
791.449406147,102.17265625,100.068375,1961715,19.0
791.51624012,102.4515625,100.2075625,1967070,19.0
791.665851116,102.3984375,100.3711875,1966050,19.0
791.816096067,102.265625,100.47796875,1963500,19.0
791.96261096,102.10625,100.57146875,1960440,19.0
792.10196209,101.80078125,100.61928125,1954575,19.0
792.193973064,101.90703125,100.642125,1956615,19.0
792.335036993,99.928125,100.6856875,1918620,19.0
792.427497149,101.42890625,100.704015625,1947435,19.0
792.587321043,101.48203125,100.891015625,1948455,19.0
792.733309031,101.24296875,100.878,1943865,19.0
792.827605009,100.52578125,100.880390625,1930095,19.0
792.966351986,101.34921875,101.014796875,1945905,19.0
793.060985088,101.46875,100.984515625,1948200,19.0
793.21290493,101.50859375,101.02834375,1948965,19.0
793.267688036,101.04375,101.113609375,1940040,19.0
793.360188961,100.89765625,101.103515625,1937235,19.0
793.501065016,100.725,101.066859375,1933920,19.0
793.593757153,101.00390625,101.217734375,1939275,19.0
793.733741999,101.04375,101.183203125,1940040,19.0
793.879596949,101.50859375,101.177359375,1948965,19.0
793.945543051,100.8046875,101.340984375,1935450,19.0
794.089349985,100.87109375,101.418546875,1936725,19.0
794.233781099,100.2203125,101.4443125,1924230,19.0
794.380042076,100.39296875,101.453609375,1927545,19.0
794.430712938,99.7953125,101.59625,1916070,19.0
794.579957008,100.3265625,101.537015625,1926270,19.0
794.627799034,100.0609375,101.53728125,1921170,19.0
794.76554203,100.31328125,101.5016875,1926015,19.0
794.917472124,99.99453125,101.50646875,1919895,19.0
795.06111908,99.83515625,101.4719375,1916835,19.0
795.198748112,99.14453125,101.35984375,1903575,18.0
795.294171095,99.48984375,101.4315625,1910205,19.0
795.433372974,99.54296875,101.344703125,1911225,19.0
795.528638124,98.93203125,101.2764375,1899495,18.0
795.683417082,99.13125,101.33753125,1903320,19.0
795.827218056,99.078125,101.258109375,1902300,19.0
